lexical,itn,maskedITN,display,question,durationInTicks,Filenumber,id,name,filename
since after that i was i was seventeen in my second year of my college when i decided to go for software development or analytix journal so my preferred field was coding whether it was in attics or insecure,since after that i was i was 17 in my second year of my college when i decided to go for software development or analytix journal so my preferred field was coding whether it was in attics or insecure,since after that i was i was 17 in my second year of my college when i decided to go for software development or analytix journal so my preferred field was coding whether it was in attics or insecure,"Since after that I was. I was 17 in my second year of my college when I decided to go for software development or analytix journal, so my preferred field was coding. Whether it was in attics or insecure.",D_1,266700000,0,1,Abhinav,D_1.wav
yes i actually did think about this when i was thirteen i went to nepal with my parents and i did not completely like a mount everest but i went beyond the base the base camp like the first second but yeah because of substitutions we needed wasn't able to go up to the top,yes i actually did think about this when i was 13 i went to nepal with my parents and i did not completely like a mount everest but i went beyond the base the base camp like the first second but yeah because of substitutions we needed wasn't able to go up to the top,yes i actually did think about this when i was 13 i went to nepal with my parents and i did not completely like a mount everest but i went beyond the base the base camp like the first second but yeah because of substitutions we needed wasn't able to go up to the top,"Yes, I actually did think about this when I was 13. I went to Nepal with my parents and I did not completely like a Mount Everest, but I went beyond the base. The base camp, like the first second. But yeah. Because of substitutions we needed wasn't able to go up to the top.",D_2,305000000,1,1,Abhinav,D_2.wav
so the rule is about software development and since i have been into coding for the past couple of years i found that there is a lot that you can do with food is also that navi works in a financial in the fintech sector which actually interest me my earlier intern was also in a fintech startup where i where i got an interest in this field of finance and also had it already had it doesn't take so both of these interests together with the my some experience of coding actually helped me to allies and prepare myself for this job interview and therefore i'm like i'm sitting in front of you for this software development,so the rule is about software development and since i have been into coding for the past couple of years i found that there is a lot that you can do with food is also that navi works in a financial in the fintech sector which actually interest me my earlier intern was also in a fintech startup where i where i got an interest in this field of finance and also had it already had it doesn't take so both of these interests together with the my some experience of coding actually helped me to allies and prepare myself for this job interview and therefore i'm like i'm sitting in front of you for this software development,so the rule is about software development and since i have been into coding for the past couple of years i found that there is a lot that you can do with food is also that navi works in a financial in the fintech sector which actually interest me my earlier intern was also in a fintech startup where i where i got an interest in this field of finance and also had it already had it doesn't take so both of these interests together with the my some experience of coding actually helped me to allies and prepare myself for this job interview and therefore i'm like i'm sitting in front of you for this software development,"So the rule is about software development, and since I have been into coding for the past couple of years, I found that there is a lot that you can do with food is also that Navi works in a financial in the fintech sector, which actually interest me. My earlier intern was also in a fintech startup, where I where I got an interest in this field of finance and also had it? Already had it doesn't take so both of these interests together with the my some experience of coding actually helped me to allies and prepare myself for this job interview. And therefore I'm like I'm sitting in front of you for this software development.",1,546000000,2,1,Abhinav,1.wav
so i have been coding since my class seventh which is so we had basic at that time and since i had a computer at my home i used to come home and try something and then something else and so on so tell my class nineteenth i used to actually code a lot different things just games or stuff like that not not competitive coding but in particular apart from that when i came to college i was introduced by thing i wasn't introduced back in in school and then that out also grew like fighting the language we want me where i grew up most of my code later most of my vote i did buy thing was wasn't i think later so yeah that was my turn,so i have been coding since my class 7th which is so we had basic at that time and since i had a computer at my home i used to come home and try something and then something else and so on so tell my class 19th i used to actually code a lot different things just games or stuff like that not not competitive coding but in particular apart from that when i came to college i was introduced by thing i wasn't introduced back in in school and then that out also grew like fighting the language we want me where i grew up most of my code later most of my vote i did buy thing was wasn't i think later so yeah that was my turn,so i have been coding since my class 7th which is so we had basic at that time and since i had a computer at my home i used to come home and try something and then something else and so on so tell my class 19th i used to actually code a lot different things just games or stuff like that not not competitive coding but in particular apart from that when i came to college i was introduced by thing i wasn't introduced back in in school and then that out also grew like fighting the language we want me where i grew up most of my code later most of my vote i did buy thing was wasn't i think later so yeah that was my turn,"So I have been coding since my class 7th, which is so we had basic at that time and since I had a computer at my home, I used to come home and try something and then something else and so on. So tell my class 19th I used to actually code a lot different things, just games or stuff like that. Not not competitive coding, but in particular apart from that when I came to college I was introduced by thing I wasn't introduced back in. In school and then that out also grew like fighting the language. We want me where I grew up, most of my code later, most of my vote I did buy thing was wasn't. I think later, so yeah, that was my turn.",2,527700000,3,1,Abhinav,2.wav
so this scheme to practice obviously but the first time i encountered about software development was when i was in my school as i said when i started pulling it will raise basic programs starting from hello world in basic and simple logo applications mobile applications someday i actually saw my sister she she's been keeping an eye teen junior i saw my sister and with her help actually used to quote some simple games and so on which is where i started learning about software development i didn't really do a lot of it i didn't really get to do a lot of it in my college but but yeah i do have some experience with some talk projects which i followed in my college as well along with my peers and friends here,so this scheme to practice obviously but the first time i encountered about software development was when i was in my school as i said when i started pulling it will raise basic programs starting from hello world in basic and simple logo applications mobile applications someday i actually saw my sister she she's been keeping an eye teen junior i saw my sister and with her help actually used to quote some simple games and so on which is where i started learning about software development i didn't really do a lot of it i didn't really get to do a lot of it in my college but but yeah i do have some experience with some talk projects which i followed in my college as well along with my peers and friends here,so this scheme to practice obviously but the first time i encountered about software development was when i was in my school as i said when i started pulling it will raise basic programs starting from hello world in basic and simple logo applications mobile applications someday i actually saw my sister she she's been keeping an eye teen junior i saw my sister and with her help actually used to quote some simple games and so on which is where i started learning about software development i didn't really do a lot of it i didn't really get to do a lot of it in my college but but yeah i do have some experience with some talk projects which i followed in my college as well along with my peers and friends here,"So this scheme to practice, obviously. But the first time I encountered about software development was when I was in my school. As I said, when I started pulling, it will raise basic programs starting from Hello World in basic and simple logo applications, mobile applications. Someday I actually saw my sister she. She's been keeping an eye teen junior. I saw my sister and with her help actually used to quote some simple games and so on, which is where I started learning about software development. I didn't really do a lot of it. I didn't really get to do a lot of it in my college. But but yeah, I do have some experience with some talk projects which I followed in my college as well, along with my peers and friends here.",3,631300000,4,1,Abhinav,3.wav
so i'm usually someone who actually has a lot of tasks to do and that is what actually encourages me to perform more and hope if i do not have anything i'll be more lazy actually so during the panda make i actually made a big list of tasks so had to prepare for this job interview for the placements i also had to prepare for apart from this i have to have to do coding actually for the online test north and also then i also added to my list some learning some red bell opment and doing that and then also learning some music instrument and so on so with this long lists actually started so i initially was a bit hesitant to start but when i started i got on the right track and that actually help because a long list of things also like apart from that i actually help my my family i can bring the house so so the meeting the morning was fully occupied with those daily houses that had had my family and kipling peace peaceful environment till till the majority of the hardy toll road ann and after that then i pursued my own things to do and with all these task at hand i didn't really get the time to think about the pandemic or the situation i'm in right now i miss you a lot of what the institute life and my friends but this having a lot of tasks actually help so this also gave me semble up meant and learning new skills,so i'm usually someone who actually has a lot of tasks to do and that is what actually encourages me to perform more and hope if i do not have anything i'll be more lazy actually so during the panda make i actually made a big list of tasks so had to prepare for this job interview for the placements i also had to prepare for apart from this i have to have to do coding actually for the online test north and also then i also added to my list some learning some red bell opment and doing that and then also learning some music instrument and so on so with this long lists actually started so i initially was a bit hesitant to start but when i started i got on the right track and that actually help because a long list of things also like apart from that i actually help my my family i can bring the house so so the meeting the morning was fully occupied with those daily houses that had had my family and kipling peace peaceful environment till till the majority of the hardy toll road ann and after that then i pursued my own things to do and with all these task at hand i didn't really get the time to think about the pandemic or the situation i'm in right now i miss you a lot of what the institute life and my friends but this having a lot of tasks actually help so this also gave me semble up meant and learning new skills,so i'm usually someone who actually has a lot of tasks to do and that is what actually encourages me to perform more and hope if i do not have anything i'll be more lazy actually so during the panda make i actually made a big list of tasks so had to prepare for this job interview for the placements i also had to prepare for apart from this i have to have to do coding actually for the online test north and also then i also added to my list some learning some red bell opment and doing that and then also learning some music instrument and so on so with this long lists actually started so i initially was a bit hesitant to start but when i started i got on the right track and that actually help because a long list of things also like apart from that i actually help my my family i can bring the house so so the meeting the morning was fully occupied with those daily houses that had had my family and kipling peace peaceful environment till till the majority of the hardy toll road ann and after that then i pursued my own things to do and with all these task at hand i didn't really get the time to think about the pandemic or the situation i'm in right now i miss you a lot of what the institute life and my friends but this having a lot of tasks actually help so this also gave me semble up meant and learning new skills,"So I'm usually someone who actually has a lot of tasks to do and that is what actually encourages me to perform more and hope if I do not have anything, I'll be more lazy actually. So during the panda make I actually made a big list of tasks, so had to prepare for this job interview for the placements. I also had to prepare for. Apart from this I have to have to do coding actually for the online test north and also then I also added to my list some learning some red bell opment and doing that and then also learning some music instrument and so on. So with this long lists actually started, so I initially was a bit hesitant to start, but when I started I got on the right track and that actually help because a long list of things. Also like. Apart from that I. Actually help my my family. I can bring the House so so the meeting the morning was fully occupied with those daily houses that had had my family and Kipling, peace, peaceful environment till till the majority of the Hardy Toll road. Ann and after that then I pursued my own things to do. And with all these task at hand I didn't really get the time to think about the pandemic or the situation I'm in right now. I miss you a lot of what? The Institute life and my friends. But this having a lot of tasks actually help. So this also gave me semble up meant and learning new skills.",4,1113300000,5,1,abhinav,4.wav
i have i don't have any plans to move in in my two years actually see myself if i as a parts navy and i want i would like to grow work there and prove my skills so since the job profile here is about java which i'm not actually much aware of so i would see out SQL learn java an improvement software development skills here in java so that also i can help i can grow in my work or in navy apart from that uh yeah so this is the personal global data have basically you have a good efficiency at work and learn new skills so including job for which is the requirement of the field right now,i have i don't have any plans to move in in my 2 years actually see myself if i as a parts navy and i want i would like to grow work there and prove my skills so since the job profile here is about java which i'm not actually much aware of so i would see out SQL learn java an improvement software development skills here in java so that also i can help i can grow in my work or in navy apart from that uh yeah so this is the personal global data have basically you have a good efficiency at work and learn new skills so including job for which is the requirement of the field right now,i have i don't have any plans to move in in my 2 years actually see myself if i as a parts navy and i want i would like to grow work there and prove my skills so since the job profile here is about java which i'm not actually much aware of so i would see out sql learn java an improvement software development skills here in java so that also i can help i can grow in my work or in navy apart from that uh yeah so this is the personal global data have basically you have a good efficiency at work and learn new skills so including job for which is the requirement of the field right now,"I have I don't have any plans to move in in my 2 years actually see myself if I as a parts Navy and I want I would like to grow work there and prove my skills. So since the job profile here is about Java, which I'm not actually much aware of, so I would see out SQL, Learn Java, an improvement software development skills here in Java so that also. I can help. I can grow in my work or in Navy. Apart from that. Uh. Yeah, so this is the personal global data have. Basically you have a good efficiency at work and learn new skills. So including job for which is the requirement of the field right now.",5,590200000,6,1,Abhinav,5.wav
so uh definitely having done some coding in analytics field in my college first year actually helped develop a lot of loss interest which i had uhm that that in that including some of the projects which i did in my second year which will not actually software element edited but actually coding related in my in scientific computing and doing poses like high performance anti computing which is about parallel processing and stuff developed this interest for and a spark back again to follow this person do this as a career option rather than anything else so yeah that's that's what i see,so uh definitely having done some coding in analytics field in my college first year actually helped develop a lot of loss interest which i had uhm that that in that including some of the projects which i did in my second year which will not actually software element edited but actually coding related in my in scientific computing and doing poses like high performance anti computing which is about parallel processing and stuff developed this interest for and a spark back again to follow this person do this as a career option rather than anything else so yeah that's that's what i see,so uh definitely having done some coding in analytics field in my college first year actually helped develop a lot of loss interest which i had uhm that that in that including some of the projects which i did in my second year which will not actually software element edited but actually coding related in my in scientific computing and doing poses like high performance anti computing which is about parallel processing and stuff developed this interest for and a spark back again to follow this person do this as a career option rather than anything else so yeah that's that's what i see,"So, uh, definitely having. Done some coding in analytics field in my college. First year actually helped develop a lot of loss interest which I had. Uhm? That that in that, including some of the projects which I did in my second year, which will not actually software element edited but actually coding related in my in scientific computing and doing poses like high performance anti computing which is about parallel processing and stuff developed this interest for and a spark back again to follow this person do this as a career option rather than anything else. So yeah, that's that's what I see.",6,564300000,7,1,Abhinav,6.wav
i haven't cheated in a college just posing i will be frank i did not ask anyone for the answers but i did help people to answer so like for example there's an incident in the first year where one of my wendy's we we like i was in aerospace engineering before so we had a class list there in in one of the posts and one of my minis actually asked me and his roommate to help him out and it's actually quite a funny incident because he thought that i'll be doing the quiz better and he actually copied my answers other than his son turned out that resume is also a work visa which she dated a lot later divided seated from so yeah had have never done cheating myself but maybe help other people to cheat,i haven't cheated in a college just posing i will be frank i did not ask anyone for the answers but i did help people to answer so like for example there's an incident in the first year where one of my wendy's we we like i was in aerospace engineering before so we had a class list there in in one of the posts and one of my minis actually asked me and his roommate to help him out and it's actually quite a funny incident because he thought that i'll be doing the quiz better and he actually copied my answers other than his son turned out that resume is also a work visa which she dated a lot later divided seated from so yeah had have never done cheating myself but maybe help other people to cheat,i haven't cheated in a college just posing i will be frank i did not ask anyone for the answers but i did help people to answer so like for example there's an incident in the first year where one of my wendy's we we like i was in aerospace engineering before so we had a class list there in in one of the posts and one of my minis actually asked me and his roommate to help him out and it's actually quite a funny incident because he thought that i'll be doing the quiz better and he actually copied my answers other than his son turned out that resume is also a work visa which she dated a lot later divided seated from so yeah had have never done cheating myself but maybe help other people to cheat,"I haven't cheated in a college, just posing. I will be frank. I did not ask anyone for the answers, but I did help people to answer. So like for example, there's an incident in the first year where one of my Wendy's we we like I was in aerospace engineering before, so we had a class list there in in one of the posts and one of my minis actually asked me and his roommate to help him out. And it's actually quite a funny incident because he thought that I'll be doing the quiz better. And he actually copied my answers other than his son turned out that resume is also a work visa, which she dated a lot later, divided seated from. So yeah, had have never done cheating myself, but maybe help other people to cheat.",7,557000000,8,1,Abhinav,7.wav
oh just says the door being when hardness so might not be the only reason i believe i think that apart from that the way factors in life apart from joe must also be contributing which i might find it monotonous so i may want to change my life shape i may want to change my habits apart from that in my invite in the company i would like to talk to my manager to ask for the project or or to go to look for something more interesting definitely i believe that my team would be willing to help me out in this situation and help me finding new career options not not tire options to new projects or new skill set demanding options of which will help me learn new things again which i would expect from that we as i said earlier apart from that i also think that having having a random activities during the work time may help so maybe taking a break from the job and then going out for a vacation or something or even my doing a job just taking a break from the office hours and then playing playing something going out with us or something on a more regular basis might help focusing back on the pickup,oh just says the door being when hardness so might not be the only reason i believe i think that apart from that the way factors in life apart from joe must also be contributing which i might find it monotonous so i may want to change my life shape i may want to change my habits apart from that in my invite in the company i would like to talk to my manager to ask for the project or or to go to look for something more interesting definitely i believe that my team would be willing to help me out in this situation and help me finding new career options not not tire options to new projects or new skill set demanding options of which will help me learn new things again which i would expect from that we as i said earlier apart from that i also think that having having a random activities during the work time may help so maybe taking a break from the job and then going out for a vacation or something or even my doing a job just taking a break from the office hours and then playing playing something going out with us or something on a more regular basis might help focusing back on the pickup,oh just says the door being when hardness so might not be the only reason i believe i think that apart from that the way factors in life apart from joe must also be contributing which i might find it monotonous so i may want to change my life shape i may want to change my habits apart from that in my invite in the company i would like to talk to my manager to ask for the project or or to go to look for something more interesting definitely i believe that my team would be willing to help me out in this situation and help me finding new career options not not tire options to new projects or new skill set demanding options of which will help me learn new things again which i would expect from that we as i said earlier apart from that i also think that having having a random activities during the work time may help so maybe taking a break from the job and then going out for a vacation or something or even my doing a job just taking a break from the office hours and then playing playing something going out with us or something on a more regular basis might help focusing back on the pickup,"Oh just says the door being when hardness so might not be the only reason I believe. I think that apart from that, the way factors in life apart from Joe must also be contributing. Which I might find it monotonous, so I may want to change my life shape. I may want to change my habits apart from that, in my invite in the company I would like to talk to my manager to ask for the project or or to go to look for something more interesting. Definitely, I believe that my team would be willing to help me out in this situation and help me finding new career options. Not not tire options to new projects or new skill set demanding. Options of which will help me learn new things again, which I would expect from that. We as I said earlier, apart from that, I also think that. Having having a random activities during the work time may help, so maybe taking a break from the job and then going out for a vacation or something, or even my doing a job. Just taking a break from the office hours and then. Playing, playing something, going out with us or something on a more regular basis might help. Focusing back on the pickup.",8,893900000,9,1,Abhinav,8.wav
